Year,Population,Elderly (%),GDP per Capita,Hospital Beds,Doctors per 1000,Smoking Rate,Mortality Rate,Life Expectancy
2014,697220,8.07,2044.07,1.49,0.98,53.7,27.09,51.34
2006,41585,8.31,451.9,1.16,0.61,40.04,16.19,35.28
2022,425231,7.92,1343.36,1.47,0.43,59.26,17.87,48.14
1991,577873,9.03,1533.49,0.59,0.58,23.9,20.79,42.3
2003,299102,4.37,1682.54,1.72,0.89,32.12,22.27,47.23
1995,298161,7.12,1814.99,1.91,0.44,45.53,20.32,48.92
1995,396821,3.04,857.2,1.47,0.35,34.0,19.81,41.85
1992,972854,5.85,321.95,1.93,0.3,57.13,29.46,37.16
1996,939705,6.88,1891.58,0.73,0.44,22.63,24.62,36.39
1997,825858,8.52,1478.44,1.22,0.82,41.98,15.35,46.78
2004,289922,11.51,2139.46,1.4,0.58,43.63,21.45,45.41
2018,710601,8.01,2107.05,1.37,0.38,46.11,28.13,49.84
2022,52229,9.44,2155.32,1.1,0.33,30.23,19.52,45.19
2019,96652,7.06,1367.21,1.01,0.47,34.58,16.42,43.45
2016,924699,8.34,1033.98,0.69,0.95,53.75,26.38,42.96
2018,259474,2.71,2041.43,1.09,0.47,27.8,24.09,35.53
2022,713724,4.54,1292.85,0.74,0.99,53.07,23.55,41.71
2016,922935,5.62,703.57,1.6,0.59,42.51,15.8,54.52
2022,270116,6.72,2180.94,0.81,0.34,50.49,17.11,52.47
1993,881310,2.46,2241.63,0.59,0.91,48.54,24.34,41.59
2011,853488,3.4,1325.88,1.33,0.57,28.3,18.12,46.76
1991,954994,4.77,466.54,1.39,0.77,42.75,22.56,51.95
1999,530985,11.72,1153.22,1.81,0.99,54.71,23.17,43.83
1994,29975,5.31,2067.78,1.37,0.24,37.28,19.25,35.36
1999,167795,6.82,2283.9,1.02,0.28,58.66,29.23,36.49
2022,426495,3.96,747.64,1.7,0.78,38.09,27.64,45.21
2002,219373,8.11,447.34,1.31,0.43,25.71,25.84,54.39
2020,939065,4.81,2230.17,0.62,0.35,35.58,16.17,48.86
2013,207133,4.07,1156.69,1.35,0.23,58.07,16.59,36.42
2004,884829,7.17,1491.87,1.86,0.22,32.79,22.39,38.79
2018,714513,2.06,2429.74,1.09,0.82,54.72,17.41,50.43
1997,305286,2.08,446.44,0.94,0.31,55.25,29.67,51.83
1994,823348,4.19,1726.3,0.72,0.57,34.01,17.38,47.35
2018,598612,2.37,463.03,0.73,0.68,23.33,22.31,47.89
1993,186037,3.08,1126.03,1.15,0.54,48.98,20.46,35.57
2001,398076,5.39,2068.39,1.39,0.22,32.46,24.59,51.57
1991,670008,10.03,1253.64,0.62,0.83,51.32,16.94,50.77
2016,700493,7.72,2493.8,1.91,0.21,37.71,21.45,40.18
2020,978181,7.13,1529.93,1.63,0.81,39.41,19.12,49.17
2015,630347,4.93,1006.56,1.38,0.91,51.12,28.32,39.3
2016,632605,11.32,784.24,1.74,0.55,35.29,15.61,35.81
1994,735495,5.97,1071.15,0.62,0.63,37.73,28.71,39.02
2009,307190,2.87,1119.57,1.22,0.58,35.05,27.49,38.57
2000,450280,8.17,451.17,1.45,0.51,34.69,19.46,41.75
1999,111459,3.14,1113.06,1.74,0.91,41.04,26.84,43.37
1995,771985,5.45,1321.32,1.68,0.92,52.35,15.47,45.17
1997,210422,7.07,1890.02,0.92,0.47,34.47,29.5,44.54
2012,842325,10.74,1744.8,1.91,0.69,40.97,22.9,40.41
2015,111520,6.94,1859.28,0.69,0.94,46.83,19.55,35.58
2001,922250,9.02,318.4,1.81,0.97,30.78,20.44,47.1
2015,595560,11.93,778.87,1.96,0.61,31.1,16.0,42.91
2002,757512,3.31,1755.71,0.77,0.56,57.34,29.84,40.97
2007,526123,4.75,1364.78,1.58,0.42,48.94,15.59,52.34
2014,339793,5.95,311.69,0.56,0.97,43.09,24.82,49.93
2022,336818,6.22,2069.89,1.11,0.31,45.91,21.64,52.16
2001,154832,6.11,2000.18,1.27,0.66,21.17,29.23,44.9
1993,162999,11.08,1506.52,1.37,0.43,44.72,18.69,37.62
1994,358619,9.14,446.22,1.9,0.42,40.38,22.98,48.92
1997,71367,8.08,1986.33,1.51,0.52,41.83,22.24,39.12
2017,763315,5.09,1584.17,1.22,1.0,34.38,25.54,43.82
2020,415804,10.24,2020.31,1.71,0.24,23.26,16.02,36.3
1998,918182,11.55,1953.84,1.93,0.66,27.73,17.91,51.51
2018,767038,10.21,2066.6,0.53,0.27,58.03,18.22,37.52
2003,245806,2.02,1439.62,1.97,0.32,36.35,26.07,53.06
2011,914586,8.36,608.71,0.63,0.55,38.67,17.84,52.28
2000,717593,2.51,1776.55,1.72,0.61,22.11,23.6,44.29
2012,54738,4.58,1665.04,0.92,0.41,21.5,18.23,49.89
1990,567685,2.6,1932.96,0.7,0.45,48.69,27.92,47.39
2010,354333,8.04,673.74,1.16,0.27,41.52,29.13,51.06
2015,348511,8.87,728.95,1.47,0.44,40.35,22.78,43.64
2012,212332,3.14,2258.9,1.07,0.97,29.72,20.28,50.72
1990,392729,5.84,1949.95,0.58,0.96,49.79,18.51,44.25
2004,873051,6.56,2298.1,1.4,0.47,26.73,15.75,53.82
2010,121453,5.69,1969.17,1.85,0.66,27.6,19.03,44.73
1998,29816,3.21,1613.74,1.07,0.93,38.43,24.81,44.25
1998,969744,6.19,1739.09,0.82,0.2,31.45,23.0,50.7
1999,933780,9.51,2256.08,1.16,0.85,29.9,29.16,51.43
2015,779299,2.71,1573.37,0.57,0.96,45.81,20.94,46.09
2024,875962,2.8,1691.26,1.73,0.27,46.04,25.41,38.6
2014,426715,5.55,644.25,1.74,0.33,52.98,22.34,44.36
2015,381000,11.42,1342.63,1.38,0.97,36.71,22.69,54.36
2000,223567,8.69,1876.07,1.03,0.63,22.92,19.02,50.06
1991,524933,8.79,896.07,1.7,0.21,30.95,21.82,51.22
1996,605923,5.62,744.96,1.33,0.41,59.2,22.06,35.66
2007,904235,7.94,990.42,1.74,0.56,43.85,25.6,44.36
2016,226184,2.1,831.3,1.45,0.75,48.39,29.11,47.93
2023,308090,8.36,772.81,1.68,0.79,20.29,19.94,51.6
2016,327348,11.13,1234.67,1.4,1.0,40.73,15.63,35.99
2006,192958,8.13,2297.24,1.12,0.43,21.5,22.44,52.05
2013,999156,10.74,1415.53,1.94,0.63,42.77,23.17,45.97
2014,287707,9.24,713.42,1.31,0.63,56.83,17.53,38.95
1996,102324,3.21,469.34,1.41,0.52,58.74,26.41,41.35
1995,233536,11.02,1831.54,0.83,0.34,41.62,29.77,40.64
2013,767232,2.66,1142.16,1.44,0.98,38.33,29.19,45.62
2022,281991,7.34,2108.03,1.36,0.88,57.8,17.96,36.03
2018,36155,3.42,1750.92,0.78,0.6,46.94,28.13,38.17
2011,351815,2.12,2051.73,0.59,0.68,22.6,25.57,51.25
2015,651179,6.22,898.28,1.41,0.38,38.63,21.81,37.65
2017,879742,4.95,1823.19,1.65,0.64,29.61,23.11,39.67
2010,470494,6.86,880.94,1.29,0.76,38.79,27.74,44.07
1996,159381,7.77,2365.95,0.84,0.61,38.22,22.2,45.34
2006,141691,2.44,1700.02,1.5,0.99,43.29,20.6,50.27
2009,486410,3.23,1013.93,0.62,0.69,34.27,22.4,43.95
2009,453324,7.59,892.93,1.16,0.5,26.57,23.69,50.8
2011,44707,5.43,720.04,0.75,0.82,40.15,17.84,47.37
2017,947841,9.29,1828.21,0.78,0.34,53.21,28.51,37.26
1996,528477,8.52,781.17,0.8,0.51,46.56,25.11,38.13
1990,877969,10.46,1609.67,1.08,0.48,33.53,24.5,43.74
2021,731864,8.92,882.2,0.58,0.55,57.42,16.49,42.94
2002,712974,6.3,1756.33,1.1,0.83,56.49,24.06,49.87
2019,756788,8.73,2092.87,1.27,0.59,28.37,16.81,46.61
2012,363299,4.75,2011.66,1.22,0.84,21.58,16.18,42.76
2008,796713,5.06,1973.87,1.07,0.66,49.65,22.91,38.42
2021,168492,9.89,712.99,1.76,0.47,53.1,21.04,39.54
2019,484112,6.46,494.45,0.72,0.85,58.71,23.83,46.51
2018,180102,9.98,1837.69,1.26,0.39,55.59,16.34,43.47
2018,404274,10.22,1110.36,0.59,0.38,44.02,21.46,45.3
2019,227285,10.58,1251.16,0.61,0.6,41.2,17.62,38.41
2005,348404,11.17,368.53,1.36,0.41,21.11,29.81,48.26
2008,169476,6.31,871.07,1.35,0.21,29.87,23.42,52.05
2007,768842,5.19,374.09,1.82,0.72,38.38,25.31,40.16
1990,170928,7.82,2234.21,1.34,0.61,45.14,19.88,44.83
2003,674560,5.71,835.47,1.94,0.56,42.29,16.42,54.51
1991,860610,8.01,1526.14,0.57,0.97,49.71,29.64,41.66
2017,306141,9.06,385.75,0.65,0.66,31.19,19.29,46.9
2019,953115,8.88,1767.06,0.57,0.89,42.6,21.36,36.8
1993,653561,5.75,1010.66,0.78,0.31,23.53,24.75,47.12
1990,706595,3.67,2275.42,1.31,0.66,36.55,15.37,36.79
1997,258500,6.31,2253.86,1.47,0.89,50.01,27.15,54.18
2018,700417,3.43,1015.64,0.57,0.67,47.74,23.05,49.31
1992,142311,10.9,2282.11,1.92,0.77,59.63,19.17,50.76
2021,769034,5.46,2491.55,1.76,0.5,31.12,15.92,49.08
1999,255546,3.54,2115.91,0.94,0.27,39.93,17.44,46.79
1999,206733,2.25,2158.72,0.62,0.57,33.18,28.43,44.0
2008,661233,8.46,847.82,0.75,0.52,37.62,25.29,52.17
2023,579560,8.37,1568.75,0.69,0.89,54.28,18.75,54.14
2022,885825,5.41,447.96,0.68,0.4,47.37,15.98,44.98
2012,857644,2.72,508.82,1.28,0.97,55.3,25.36,53.63
2017,156470,6.1,2497.56,0.87,0.97,28.14,23.59,46.67
2021,654318,5.11,1018.61,1.04,0.4,54.93,21.07,45.77
1996,328647,8.77,1946.0,1.98,0.48,22.39,20.45,44.09
2018,934142,8.06,2074.66,1.53,0.92,55.54,18.25,39.19
1997,16570,5.65,2187.65,1.92,0.97,33.16,25.04,35.07
1990,340929,4.18,2494.78,0.71,0.55,32.58,29.56,39.83
1992,543398,11.88,831.29,1.07,0.46,40.48,17.64,45.19
2013,509115,6.54,388.77,1.33,0.62,57.63,23.96,42.6
2012,89141,8.88,1204.62,0.62,0.75,21.91,21.36,43.97
1997,22115,3.41,586.18,0.51,0.42,34.09,21.7,54.61
1992,49062,6.86,349.34,1.51,0.79,54.26,18.81,42.01
2022,819343,2.28,1092.94,1.46,0.24,35.84,27.38,44.04
2017,638349,7.05,2024.22,1.12,0.24,27.97,22.28,37.67
1997,304700,11.64,1545.6,1.23,0.51,36.99,23.15,35.96
2023,400479,5.84,988.11,1.12,0.48,35.42,19.57,50.51
2024,536257,2.39,1739.55,0.54,0.45,56.62,17.73,46.41
2021,840185,2.31,810.44,1.0,0.59,50.48,16.29,50.21
2013,407686,5.88,331.64,0.77,0.46,40.2,25.71,38.0
2003,131863,3.6,1981.58,0.65,0.35,59.53,17.94,46.44
2021,806657,2.23,1672.23,1.94,0.45,38.61,25.35,40.07
2005,511076,9.56,1977.07,1.4,0.98,22.33,20.86,39.56
1993,657296,6.59,385.66,1.59,0.53,30.49,21.24,35.23
2010,510726,4.89,2141.66,0.97,0.56,37.44,22.04,37.61
2003,688556,11.0,1662.96,1.09,0.66,26.28,20.52,41.19
2020,640111,3.16,1539.47,0.86,0.99,57.9,16.51,37.34
2007,810101,11.56,1674.15,0.65,0.39,50.67,19.64,54.72
1996,964884,5.14,2201.75,0.77,0.75,30.73,24.96,41.17
1999,920830,10.88,1591.26,1.7,0.77,43.63,24.99,37.61
1996,644965,8.03,1578.09,1.52,0.69,48.86,19.29,38.98
2022,781246,10.27,2479.49,1.32,0.27,57.65,21.9,46.75
2012,58320,11.84,1964.81,1.21,0.74,55.27,17.9,36.28
2010,974918,4.88,1273.05,1.88,0.25,40.61,18.16,52.25
2008,506758,11.61,1856.27,0.61,0.68,50.99,15.35,54.23
2008,156649,5.89,1156.31,0.92,0.79,42.49,28.45,39.93
2018,135354,5.86,803.53,1.02,0.37,42.11,18.16,44.0
2007,622297,5.4,1613.07,1.67,0.87,24.59,18.41,35.44
1991,791725,7.41,2342.0,1.99,0.22,25.05,19.19,47.81
1990,458625,3.54,2344.11,0.86,0.88,41.18,16.91,43.28
1994,38625,7.54,1052.19,1.81,0.57,30.75,24.59,40.4
2009,746400,7.42,1460.89,1.75,0.37,20.84,16.13,39.14
2000,296233,9.62,765.6,0.84,0.31,48.91,17.01,48.08
1991,46487,10.34,2490.39,1.1,0.96,21.3,24.67,43.32
1992,469054,6.4,2458.46,1.11,0.26,43.81,20.09,38.59
2012,238071,5.02,1728.92,1.97,0.36,41.57,25.62,48.78
2001,906880,4.59,2069.71,0.77,0.48,58.75,23.36,46.3
2009,498011,3.95,1873.22,1.7,0.7,39.37,18.84,52.17
1994,322282,2.58,1604.95,1.0,0.64,22.54,24.76,37.35
2019,183895,5.42,417.37,1.6,0.3,42.07,16.74,50.71
1998,440424,4.7,1300.48,1.13,0.43,53.64,23.05,48.47
2023,326205,11.66,1784.53,1.37,0.39,59.87,21.56,37.3
2024,958163,7.58,1790.57,1.75,0.37,37.21,19.02,48.9
2011,111376,5.47,1120.87,1.71,0.53,32.81,24.06,43.83
2013,435106,7.8,2371.72,1.8,0.76,56.27,28.07,53.9
2006,875566,3.39,668.19,0.59,0.37,27.65,29.98,37.83
1999,843487,6.44,1400.79,1.54,0.49,44.62,24.12,47.86
2019,777629,8.26,1819.94,0.71,0.51,36.23,21.07,42.64
2012,291652,6.89,1833.7,1.12,0.98,21.64,18.38,54.14
2021,969791,6.02,1727.01,1.32,0.96,33.89,18.86,41.6
2006,482132,11.94,905.63,1.1,0.84,30.61,22.19,54.24
2006,168056,10.8,643.65,1.28,0.39,47.44,20.51,53.03
